15169	98
21099	23121
38863	11960
123862	23542
179165	1663
116593	1663
79609	17467
26875	3934
122371	17190
25483	30578
7678	3174
172550	1747
59980	13890
102861	3351
179545	3934
138188	23892
163766	7759
74652	15317
100391	10660
44539	17834
43650	22518
165229	3934
178218	9303
63437	13449
31635	28682
43999	490
54247	8419
56495	15478
53493	18073
11146	1796
51299	10262
10465	13495
166906	513
98948	20946
46117	15756
43060	27809
151563	8028
69340	4118
187965	15690
171393	26085
18672	23413
37861	19125
43818	9883
184190	709
44991	28884
181193	21764
85392	15507
156438	30433
67469	15072
50374	19817
176967	5038
127987	23388
91569	11686
53760	25209
140725	22338
159429	30323
141328	19066
81160	3324
100860	29984
61882	6506
112868	22648
106570	10902
104558	247
24460	18510
109774	26085
113472	27119
184359	7768
60955	29036
43856	10237
50027	4118
102884	10970
134423	27119
138468	23350
2140	3726
185424	18740
60553	25509
90752	7485
188027	26685
169989	16105
181736	888
82576	18826
136938	26387
112336	18876
151662	12347
2921	10461
108153	16391
64434	22214
52670	10783
4939	24283
8226	5049
99705	20841
187804	20102
37111	23076
157854	29388
182635	14087
116295	11470
31854	13107
57069	10991
121112	26085
44538	29891
45921	164
19752	2494
135507	8397
87922	23521
77057	9887
4715	20839
147393	4566
48468	14101
134689	19246
79973	18809
157652	11697
111061	21271
111352	23685
92	17001
109758	23542
49268	25770
10615	17838
150285	16690
122224	28884
22465	234
130941	27120
179085	24683
184866	14385
180506	23387
75055	24738
65538	21823
140835	23018
168821	18839
10729	854
100306	23076
9512	23571
161501	23867
3876	20136
140475	14456
72949	17857
144050	27428
171627	854
138642	11716
14393	6170
70821	14456
137048	16525
91373	28884
61329	28624
101146	26713
73013	8502
10407	17190
174659	3476
151419	25900
186961	29790
77016	12207
84603	25222
108996	7803
167022	9670
7023	22920
126797	29418
55173	20189
39757	12085
61558	11650
14552	13702
188712	27561
62418	30726
92932	30297
76608	5150
34246	922
17877	18066
174256	23416
159800	10826
126922	3934
87464	18583
127874	10164
75476	12427
93564	21237
186365	25953
4374	18276
94778	3934
51838	30078
52312	3488
87214	13608
98890	20354
57277	24380
113617	27731
116734	26895
52787	24656
93908	24226
111494	9100
53453	14655
123696	13991
127282	16576
42539	6518
