26985	5267	46622
9906	5355	113503
133157	26415	167521
107266	5035	7733
39857	14385	165220
80882	7266	6410
130038	9549	42040
40778	19783	91221
78642	10585	169129
22104	28891	13565
54773	7547	15162
73607	20006	29959
33784	26789	130886
1848	4338	133612
78314	27192	186319
147814	7507	182794
73342	19179	52457
126214	17261	54514
87160	16934	5685
98791	24724	124927
37003	26555	100772
57448	12782	94190
16731	25719	51317
159787	30180	68015
64657	1004	102590
87753	22214	186454
118783	21021	85716
28128	26277	125352
17809	4867	27610
49792	3826	172464
26636	18036	146002
25266	28682	106073
168007	26205	149614
157244	3528	12003
84530	23076	142372	24883
22560	19299	108459
55745	5962	463
67873	10998	125249
130381	13440	11013
110940	24535	150775
21948	8014	65388
425	23306	1091
124985	23018	39660
154853	10870	148552
131386	10654	71340
27210	22418	120704
114586	29729	132171
168382	25952	66070
118332	27139	126505
139174	21628	143232
161791	29867	115630
14733	18087	118222
7850	690	186461
164863	19627	66327
108097	3290	66046
92942	24259	36548
124993	12903	17904
120608	9310	27560
15776	27549	21491
110590	11341	46372
65425	19632	4430
67993	18319	35006
102276	26646	186301
119631	21382	18784
180830	15549	54860
169882	16215	74438
137323	20235	127063
99117	21674	46472
5849	2381	1521
140183	8647	184176
56545	26	161220
124248	20112	96175
37	21931	186054
58305	27231	117663
158016	12824	68629
163605	8184	120132
75956	13074	113913
149682	13132	65789
178483	28556	71765
43101	21619	122191
49896	9901	19630
63286	13855	125996
153505	24495	127776
80091	7722	140339
78089	26782	148663
165460	26235	119389
94182	19606	145040
154790	14607	74006
131898	27231	76214
126690	20586	165441
21383	4243	184760
166127	22704	140086
11438	7098	96609
96294	26691	55948
153841	15799	161304
102974	2835	96026
124848	15472	110252
14773	9741	6868
161939	10597	129691
121591	25188	113738
111569	7539	2144
14002	4000	174549
5910	22026	166148
36835	21894	81543
137963	19043	97360
9006	2264	128494
95136	30370	2864
176429	1338	76085
78103	16111	66475
162101	13284	66331
38252	12255	111246
118775	20064	130833
43640	15186	9718
143767	13272	97831
100033	9462	80561
151752	6668	123137
174939	12794	169664
172997	15915	102493
48375	20281	186610
44138	174	34294
123185	22725	139421
131497	8205	188613
124715	19778	103124
35181	23168	40883
48265	6045	175483
121454	3254	46570
158928	7038	148289
111318	26189	89360
140846	2023	4399
92082	16245	49907
112789	26314	142066
56815	26976	49998
28223	4393	138133
129086	5586	28572
71544	25213	69229
53173	25922	165839
141701	9761	143450
72906	5074	52439
33027	26473	180078
58620	8901	160466
115269	11901	63881
108294	15755	49045
166689	6929	156332
140413	20914	158287
35509	30283	51186
167835	14094	73178
122780	2975	119236
132020	15627	148263
37900	41	127822
33188	11070	147816
106658	18826	146242
184506	4750	123709
135906	18801	94983
148881	17380	42105
90248	14902	159100
102902	29378	75663
134732	2848	121891
125234	10770	114052
99616	8404	146470
162769	10943	23592
43523	2664	120951
187863	24003	157598
124197	3295	65673
110475	27059	174497
2245	26195	43109
89527	8176	17560
30702	29075	111900
152548	17442	92942
78451	22184	49584
114739	15400	138435
109871	2664	120054
64503	11020	115907
68328	29910	25783
47758	19451	5531
6816	5899	86502
29304	4216	2629
85119	25334	80378
134968	2799	65499
163146	16756	7782
157296	23962	157413
104453	22333	23887
26555	2664	34741
43624	3858	178904
164906	24325	185373
98180	7545	93953
126009	28354	77443
157387	17262	108241
94851	20945	112388
140996	6710	105716
62048	18393	114896
112677	2685	86181
128867	6282	96085
106550	7265	32828
158682	25618	166747
114958	17306	156886
154911	3293	128018
11382	844	2633
92778	18262	9134
11926	3057	37655
168565	19577	85450
40883	14512	17613
99863	15504	19037
6646	9141	114160
158336	8070	128773
627	10114	100911
37359	6528	175631
64324	15781	119258
172973	28726	80345
103133	22884	77587
82953	3654	24803
93633	21179	28263
136962	13068	161532
376	17845	99791
188987	15294	137506
109554	11833	58369
187406	24377	10386
128617	26191	72462
40447	22518	157254
100666	10987	120060
149587	26895	128689
158850	29989	164442
1465	17228	175841
113579	18250	91535
50015	24092	50595
45829	4269	20076
97606	23693	30331
26860	22377	132246
150375	11048	127956
141924	26824	86763
66094	17150	142427
130863	778	10935
84029	25159	189480
78166	14950	74253
14819	23290	167089
145676	22437	185858
117334	28745	66216
131285	20594	52434
70142	15742	59591
147257	18449	99443
23738	8809	105131
29407	1819	147798
162178	13351	89907
175571	3593	14828
136221	14960	115214
151985	28597	158053
94193	16836	116705
9987	22462	23367
187399	1103	42911
37313	8840	113239
185750	18592	183712
89117	6623	72445
110115	10110	99250
134517	17684	25541
139244	25970	62920
164843	79	72207
57103	27122	100258
31289	1809	14698
187578	12088	103507
130306	16542	39732
154111	22725	167430
106286	24842	124898
40508	23693	100587
121776	23442	159918
79513	28436	80873
11690	22725	153911
58887	8502	108524
127190	5713	15615
52249	15014	122588
76050	10062	35813
39757	6302	2072
166961	13684	14408
105753	9939	188940
81463	1188	89039
171431	28181	168424
109910	29378	189842
65825	7349	147874
164526	25713	105934
73791	22237	162624
95711	4588	155410
